chapter_first_level;chapter_second_level;chapter_third_level;text
4. Сбережения в жизни гражданина;4.4. РАЦИоНАЛьНоЕ СБЕРЕГАтЕЛьНоЕ ПоВЕДЕНИЕ;4.4.3. ЗАЩИТА ДОСТУПА В ЛИЧНЫЙ КАБИНЕТ;Практически любой уважающий себя банк сегодня предоставляет своим клиентам электронные форматы взаимодействия, в том числе личный кабинет на сайте банка, через который можно онлайн получать различные услуги: проводить платежи, открывать и закрывать депозиты, подавать заявки на кредиты, приобретать валюту (правда, не всегда по выгодному курсу) и т. д. Это исключительно удобный и полезный для клиентов сервис, но надо учитывать связанные с ним риски. Например, если какойто злоумышленник получит доступ к вашему личному кабинету, он может снять все деньги со счетов и вкладов, да еще и набрать кредитов от вашего имени, а банк будет иметь все основания считать, что это ваши собственные действия. Почему? Потому что совершение определенных действий на сайте, например введение кода, полученного в СМС-сообщении, с юридической точки зрения приравнивается к простой электронной подписи1, т. е. вы как бы собственноручно подписываете договор, или распоряжение на перевод денег, или еще какой-то финансовый документ. Следовательно, любой банк, заинтересованный в безопасности клиентов, старается максимально защитить личные кабинеты от 1 Подробнее см. ст. 5 Федерального закона от 6 апреля 2011 г. № 63-ФЗ «Об электронной подписи». 182 ФИНАНСОВАЯ ГРАМОТНОСТЬ несанкционированного доступа мошенников. Связь между банком и клиентом осуществляется по защищенным каналам, для входа в личный кабинет используются логины и пароли, которые клиенты могут определять сами на сайте или в банкомате, кроме того, для большинства финансовых операций предусматривается как минимум двухфакторная идентификация: клиент должен ввести на сайте дополнительный код подтверждения операции, полученный им на мобильный телефон. Но клиент тоже должен быть осторожен. Простейшие правила, которые мы уже упоминали в главе о расчетах, действуют и здесь: не сообщайте посторонним людям логин и пароль от личного кабинета, не называйте коды подтверждения операций, особенно если вы сами не находитесь в системе интернет-банкинга, а вам звонят неизвестные якобы от имени службы безопасности банка и просят сказать код, пришедший на ваш телефон. В 100 % случаев это мошенники. Банки публикуют на своих сайтах перечень мер безопасности, учитывающих особенности их дистанционных сервисов. Оз накомление с ними обязательно до начала работы с интернет-банком.
4. Сбережения в жизни гражданина;4.4. РАЦИоНАЛьНоЕ СБЕРЕГАтЕЛьНоЕ ПоВЕДЕНИЕ;4.4.4. НАСЛЕДОВАНИЕ ВКЛАДА;"В случае ухода человека из жизни денежные средства на счетах и во вкладах наследуются, как и другое имущество. Общие правила о наследстве установлены частью третьей Гражданского кодекса Российской Федерации. Существует наследование по завещанию: при этом наследником можно назначить кого угодно, как из числа родственников, так и любых других людей (и даже организации), хотя некоторые категории близких родственников (например, несовершеннолетних детей, а также нетрудоспособных детей, родителей, супруга, лиц, находившихся на иждивении) нельзя завещанием исключить из наследования. При этом завещание должно быть подписано в присутствии нотариуса и удостоверено им. К нотариально удостоверенным завещаниям также приравниваются завещания граждан, находящихся в больницах, госпиталях, домах для престарелых и инвалидов, удостоверенные главными врачами, начальниками госпиталей, директорами домов для престарелых и инвалидов; завещания граждан, находящихся во время плавания на судах, удостоверенные капитанами этих судов; завещания военнослужащих, удостоверенные командирами воинских частей, и т. п. Если же завещания нет, как это часто бывает в России, то действует наследование по закону: наследниками становятся родствен183 ГЛАВА 4. СБЕРЕЖЕНИЯ В ЖИЗНИ ГРАЖДАНИНА"
5. Кредиты и займы;5.1. Когда стоит;5.1.1. РОЛЬ ЗАЁМНЫХ СРЕДСТВ;Вероятно, первый вопрос, который можно задать себе, прочитав название главы: чем же кредит отличается от займа? Разница проста: кредиты берут в банках, а займы — у кого угодно: у родственника, друга, в ломбарде или в микрофинансовой организации. В остальном эти два понятия очень похожи: как кредиты, так и займы надо возвращать в определенный срок, кроме того, по ним обычно платят проценты (хотя займы могут быть и беспроцентными1). Термины «заёмные средства», «ссуда» или «долг» можно использовать как общие для обоих понятий. Человек (или организация), который взял деньги в долг, именуется должником либо заёмщиком, а человек (или опять-таки организация), который дал деньги в долг, — это кредитор, или займодавец. Как уже было сказано выше, главная роль заёмных средств в финансовом планировании заключается в том, что они позволяют нам перераспределять потребление между текущим и будущими периодами. Использование кредита или займа дает нам возможность получить то, что хочется, сейчас, а заплатить потом. Проблема только в том, что получать деньги хочется всегда, а платить долги — почти никогда. Поэтому так важно понимать: хотя привлечение заёмных средств расширяет наши возможности, но также накладывает на нас обязательства, невыполнение которых может повлечь серьезные последствия. Скажем, наступило лето, и вам очень хочется в отпуск полететь куда-то, а денег на это недостаточно. Вы берете кредит и отправляетесь отдыхать, а потом расплачиваетесь за него следующие полгода, отказывая себе в походах в кино по пятницам. А если долг 1 Общие законодательные нормы, регулирующие договор займа и кредитный договор, можно найти в главе 42 Гражданского кодекса Российской Федерации. Более подробное регулирование вопросов, связанных именно с потребительским кредитованием, содержится в Федеральном законе от 21 декабря 2013 г. № 353-ФЗ «О потребительском кредите (займе)». ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.1. КоГДА сТоИТ И К оГДА нЕ сТоИТ бРАТь В ДоЛГ;5.1.2. ДОПОЛНИТЕЛЬНЫЕ ВОЗМОЖНОСТИ;"В общем случае получение кредита дает нам возможность потратить больше, чем мы на самом деле можем себе в данный момент позволить. С помощью кредитования можно: • купить необходимую или очень желанную вещь прямо сейчас, получив от этого нематериальные выгоды в виде морального удовлетворения (особенно в ситуации, когда желаемый товар может закончиться или потерять для вас актуальность); • в долгосрочной перспективе получить прибыль от выгодных инвестиций в какой-то бизнес- проект, сделанных на заёмные средства, что с лихвой покроет издержки заимствования; • инвестировать в свой человеческий капитал, т. е. в самого себя, путем оплаты учебных курсов, семинаров и т. д. Бывают ситуации, в которых решение, брать кредит или нет, уже зависит не столько от соотношения текущих и будущих выгод и потерь, сколько от степени необходимости и неотложности требуемых затрат. Например, вы сдаете квартиру в аренду, и после бывших жильцов целесообразно сделать восстановительный ремонт, поскольку это позволит сдать ее дороже и в будущем окупить издержки кредитования. Но в каждом из этих случаев, прежде чем брать кредит, нужно, во-первых, взвесить потенциальные выгоды и издержки и, во-вторых, что даже более важно, критически оценить свои возможности: а будет ли, чем его возвращать? Обобщая, можно сказать, что взять кредит разумно, если ваша цель связана с долгосрочным улучшением качества жизни, а также с обеспечением развития собственного человеческого капитала или бизнес- проекта (рис. 5.1). 190 ФИНАНСОВАЯ ГРАМОТНОСТЬ РИСУНОК 5.1 Причины обращения к кредитованию"
5. Кредиты и займы;5.1. КоГДА сТоИТ И К оГДА нЕ сТоИТ бРАТь В ДоЛГ;5.1.3. ОПАСНОСТИ И РИСКИ КРЕДИТОВАНИЯ;"Одна из самых распространенных ситуаций, ведущих к образованию безнадежной задолженности, — заёмщику не хватает денег на то, чтобы выплачивать прошлые долги, и он начинает делать новые, которыми закрывает проценты по старым, однако общая сумма задолженности не уменьшается, а наоборот, неуклонно растет. Есть две основные причины, почему долговое бремя может оказаться слишком тяжелым: • заёмщик не смог правильно оценить свои финансовые возможности и выполнить взятые на себя обязательства; • произошла некая непредвиденная ситуация, которая привела к потере платежеспособности заёмщика. В обоих случаях, если вы одолжили денег у родственников или знакомых, то рискуете испортить отношения и потерять репутацию надежного человека, так что в будущем этот канал заимствования будет для вас закрыт. Если же вы взяли кредит в банке или заём в микрофинансовой организации, вероятно следующее развитие событий: ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ"
5. Кредиты и займы;5.1. КоГДА сТоИТ И К оГДА нЕ сТоИТ бРАТь В ДоЛГ;5.1.4. МАТЕМАТИКА КРЕДИТОВАНИЯ;Когда вы обращаетесь за заёмными деньгами в кредитную организацию, следует помнить, что отдавать долг придется с процентами. Проценты — это ваша плата за пользование чужими средствами. При прочих равных условиях, чем больше долг и длительнее период кредитования, тем больше вы в итоге заплатите сверх основной суммы долга. 1 На момент этой истории не было специального закона, который регулирует деятельност ь коллекторов, сейчас ситуация иная (подробнее см. подразд. 5.5.2). ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.2. Виды кредитов;5.2.1. ЦЕЛЕВЫЕ И НЕЦЕЛЕВЫЕ КРЕДИТЫ;Один из наиболее распространенных видов кредита — нецелевой по требительский. Он выдается физическому лицу на цели, не связанные с осуществлением предпринимательской деятельности. При этом заёмщик не обязан сообщать банку, на что он планирует по тратить полученные деньги, однако ставка таких кредитов может быть более высокой по сравнению с целевыми при равных сумме и длительности. РИСУНОК 5.3 Виды банковских кредитов Ипотека Автокредит POS-кредиты Потребительский Карточные кредит кредиты 198 ФИНАНСОВАЯ ГРАМОТНОСТЬ Целевые кредиты выдаются на покупку определенного товара или оплату услуги, и заёмщик не имеет права потратить эти деньги на что-то другое. В большинстве случаев это и невозможно, так как банк перечисляет деньги не заёмщику, а напрямую продавцу товара или услуги. К целевым кредитам относятся, в частности, ипотечные, автокредиты, POS-кредиты, о которых подробнее будет рассказано ниже. Существуют также кредиты на предпринимательские цели, но об этом речь пойдет в главе 10.
5. Кредиты и займы;5.2. Виды кредитов;5.2.2. ИПОТЕЧНЫЕ КРЕДИТЫ;Слово «ипотека» известно практически каждому, однако многие ошибочно полагают, что это только кредит на покупку недвижимости. На самом деле это лишь частный случай, а в общем виде ипотечный кредит — это любой кредит под залог недвижимости. Таким образом, ипотечным будет как кредит на покупку квартиры под залог этой же квартиры, так и, например, кредит на покупку машины под залог дачи. Тем не менее, несомненно, самый распространенный вариант ипотеки — кредит на покупку жилой недвижимости. Более того, очень часто для заёмщика это также первое и единственное жилье. Почти каждая молодая семья рано или поздно сталкивается с выбором: покупать квартиру в ипотеку или снимать. Тем, кому приходится делать такой выбор, чтобы не ошибиться, нужно учитывать и соотносить ряд материальных и нематериальных выгод каждого из возможных вариантов (табл. 5.3). ТАБЛИЦА 5.3 Выгоды, которые нужно учитывать при выборе между ипотекой и съемной квартирой Ипотека или съемная квартира? Почему лучше взять ипотеку Почему лучше снимать квартиру Вы не рискуете, что арендодатель попросит Вы не связаны долгосрочными долговыми освободить квартиру обязательствами Можно делать любой ремонт на свой вкус У вас нет необходимости тратиться и заводить домашних животных на ремонт и мебель Квартира — это актив, который вы, например, Можно менять место жительства по сможете продать или передать детям (но обстоятельствам: смена работы, учебы, только после того, как погасите кредит!) любых предпочтений и т. д. Возможно (но не обязательно), что ваша Возможно (но не обязательно), что квартира вырастет в цене и вы сможете по совокупным платежам аренда жилья выгодно ее продать окажется дешевле ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.2. ВИДЫ КРЕДИТоВ;5.2.3. АВТОКРЕДИТЫ;Автокредит, или кредит на покупку автомобиля, схож с ипотекой тем, что предмет покупки — автомобиль тоже может выступать в качестве залога, что обычно позволяет значительно снизить ставку в сравнении со случаем, когда кредит залогом не обеспечен. Обычно целевой кредит распространяется именно на покупку новых автомобилей в специализированных салонах. В таких салонах часто присутствуют представители банков, и покупатель на месте может оформить заявку на кредит, а иногда и сразу заключить кредитный договор. Это кажется очень удобным, но всё же более грамотно было бы сначала изучить условия других банков, потому что у банка в точке продажи автомобилей проценты могут быть завышены. При этом часто автосалоны сотрудничают сразу с несколькими банками, так что у потенциального заёмщика есть возможность самостоятельно или с помощью кредитного брокера выбрать наиболее выгодный вариант кредитования из предложенных. Однако, если покупателю не обязательно приобретать автомобиль в конкретном салоне, правильный алгоритм — найти банк с наиболее выгодной ставкой, а потом обращаться в автосалоны, с которыми он сотрудничает. Зачастую, для того чтобы получить кредит на покупку автомобиля, приходится оформлять страховой полис, причем не только ОСАГО, но и КАСКО (подробнее об автостраховании см. гл. 7). Здесь работает тот же принцип, что и с приобретаемой в кредит квартирой: вероятность одобрения кредитной заявки выше, процентные выплаты ниже, а риски в случае угона или повреждения дорогой покупки вы разделите со страховой компанией. ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.2. ВИДЫ КРЕДИТоВ;5.2.4. КРЕДИТНЫЕ КАРТЫ;"Сейчас на российском рынке финансовых услуг существует огромное количество предложений кредитных карт. Этот финансовый инструмент имеет ряд преимуществ перед классическим кредитом, оформляемым по заявке в банке: • свобода действий: кредитную карту можно использовать в любое время или даже просто отложить на черный день, и это ничего не будет стоить (за исключением стоимости обслуживания)1; • удобство в использовании: можно потратить любую сумму в рамках кредитного лимита и в любой момент погасить ее полностью или частично; • наличие льготного периода (или грейсп ериода): многие кредитные карты подразумевают наличие определенного срока, в течение которого можно не платить проценты за пользование заёмными средствами, если успеть за это время погасить долг; • различные бонусы: кешбэк, начисление миль и иные поощрения такого рода — банки часто предлагают подобные способы стимулирования покупок с использованием выпущенных ими карт, что иногда бывает очень выгодно потребителям (см. гл. 3). Обратной стороной удобства кредитных карт являются риски по требителя. Часто люди так увлекаются кредитками, что потом им трудно выплатить образовавшиеся задолженности. Кроме того, наличие карты с большим кредитным лимитом, даже если владелец ею активно не пользуется, будет учитываться при расчете показателя долговой нагрузки, что может негативно повлиять на решение о предоставлении других кредитов в будущем. Кешбэк и иные бонусы нередко стимулируют неоправданные траты, а условия предоставления льготного периода иногда настолько запутанны, что его 1 Здесь речь идет именно о процентных выплатах, однако некоторые банки также взимаю т комиссию за обслуживание своих карт, тогда за неиспользуемую кредитку платить все-таки придется 204 ФИНАНСОВАЯ ГРАМОТНОСТЬ легко нарушить, и тогда проценты придется заплатить за весь срок кредитования. Поэтому, прежде чем начинать активно пользоваться кредиткой, надо внимательно изучить описание тарифа. Так, порой кредитные карты с выгодными условиями в части начисления бонусов и длительным льготным периодом имеют очень высокую плату за обслуживание, которая, конечно же, не прописывается крупными буквами на рекламных баннерах. Длительность льготного периода — один из главных инструментов конкуренции банков в борьбе за лояльность и кошелек потребителя. В совокупности с кешбэком ситуация может выглядеть так, будто потребитель получает одни только плюсы: покупает желаемое, имеет за это бонусы и не платит проценты! Однако зачастую всё не так просто. Например, льготный период может отсчитываться с момента первой покупки, с определенного числа каждого месяца или «скользить» по мере совершения дальнейших операций по карте. Если заранее не разобраться в этих тонкостях, воспользоваться кредиткой «бесплатно» не получится. Чтобы особенности расчета наиболее распространенных типов льготного периода были понятнее, рассмотрим следующий пример (табл. 5.4). Покупая 5 сентября новое платье, Анна впервые воспользовалась кредитной картой, по которой предусмотрен льготный период в 30 календарных дней. Ровно через неделю она этой же картой оплатила коммунальные услуги. До какого числа ей нужно внести деньги на счет, чтобы не платить проценты? Всё зависит от формулировки в договоре, который она подписывала при оформлении карты. ТАБЛИЦА 5.4 Условия договора и последствия Когда надо заплатить, чтобы использовать В договоре написано льготный период началом льготного периода является Так как Анна не пользовалась картой ранее, момент первой покупки по карте. то всю сумму нужно будет внести Важно: должно быть указано, что считать до 5 октября. В ином случае дата окончания первой покупкой — первое использование льготного периода зависела бы от истории карты с момента ее выпуска операций по данной карте или с момента последнего полного погашения задолженности независимо от истории операций по карте В таком случае всю сумму нужно будет началом льготного периода является внести до 24 сентября конкретное число календарного месяца, например 25е число ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ"
5. Кредиты и займы;5.2. ВИДЫ КРЕДИТоВ;5.2.5. POS-КРЕДИТЫ;POSкредиты, или кредиты в торговых точках (англ. POS — point of sales), — это кредиты на покупку конкретных товаров, которые можно оформить прямо в магазине. Как правило, выдача таких кредитов организована на основании договора между банком и магазином, который выделяет представителям банка место на своей территории, где те могут предоставлять услуги. Часто для оформления POS-кредита достаточно минимального набора документов, иногда одного только паспорта или даже водительских прав. Особенность таких кредитов в том, что они оформляются прямо на месте и за короткое время: обычно не более чем за час, а иногда вообще за несколько минут. Кажется, что покупателю это удобно, ведь он сразу может приобрести желаемый товар, не беспокоясь о том, что его раскупят или возрастет цена. Но POS-кредиты, как правило, характеризуются высокими про центами. Если бы у потенциального заёмщика было достаточно времени на раздумья, он мог бы рассмотреть альтернативные варианты и, вполне возможно, нашел более выгодный. Однако кредиты в торговых точках нацелены именно на импульсивные покупки, при которых скорость предоставления кредита является условной компенсацией за его высокую стоимость. Еще одной опасностью такого рода кредитов, также связанной со скоростью их предоставления, являются дополнительные условия, которые часто прописываются в кредитном договоре, но не озвучиваются потребителю. Например, в договор могут быть включены дополнительные комиссии. Ввиду того что время на принятие решения ограничено, заёмщик не всегда успевает полностью прочитать договор и соглашается на те условия, которые бы его не устроили, если бы он изучил их более внимательно. 206 ФИНАНСОВАЯ ГРАМОТНОСТЬ
5. Кредиты и займы;5.3. Виды займов;5.3.1. ЗАЙМЫ В МИКРОФИНАНСОВЫХ ОРГАНИЗАЦИЯХ;Микрофинансовые организации, как можно догадаться по их названию, предоставляют в долг небольшие суммы (до 1 млн руб.). Деятельность МФО контролируется Банком России, однако требования к ним менее строгие, чем к банкам. При этом микрофинансовые организации должны быть включены в государственный реестр и соблюдать правила, установленные Федеральным законом от 2 июля 2010 г. № 151-ФЗ «О микрофинансовой деятельности и микро финансовых организациях». Чем же отличаются займы в микрофинансовых организациях от банковских кредитов? На самом деле различий довольно много: • сумма займа в МФО не имеет строгих ограничений снизу: так, можно одолжить даже одну или несколько тысяч рублей, а вот с банком ради таких сумм связываться обычно ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.3. ВИДЫ ЗАЙМоВ;5.3.2. ЗАЙМЫ В КРЕДИТНЫХ КООПЕРАТИВАХ;Кредитные потребительские кооперативы (КПК) представляют собой объединения граждан с целью организации взаимопомощи своим членам, они являются некоммерческими организациями, т. е. не ставят целью своей деятельности извлечение прибыли. Их деятельность регулируется Федеральным законом от 18 июля 2009 г. № 190-ФЗ «О кредитной кооперации». Членов кредитного кооператива называют пайщиками, так как в пользу кооператива они делают паевые взносы, которые идут на осуществление деятельности КПК и иные цели, предусмотренные его уставом. Помимо паевых взносов, члены КПК объединяют в нем свои сбережения, из которых пайщикам этого же КПК могут выдаваться займы. Управление кооперативом и принятие решений осуществляются на основании принципа «один член кооператива — один голос». Как правило, отношения членов кредитных кооперативов строятся на уважении и взаимном доверии, однако в качестве средства обеспечения займа может так же, как и в банках или МФО, использоваться залог или поручительство. С учетом того, что займы в КПК доступны только для их членов, а также ввиду особенностей управления КПК не имеют такого широкого распространения, как банки. В то же время создание такого рода объединений особенно удобно в небольших городах, деревнях и селах, где доступ к банковскому кредитованию может быть ограничен ввиду территориальной удаленности ближайших отделений банков. Бывает, что МФО маскируются под КПК, чтобы вызвать доверие клиентов. Случается и обратное, когда формально зарегистрированный КПК ведет себя как МФО: собрав деньги с доверчивых пайщиков, учредитель КПК или объединение членов, обладающих доступом к распределению средств, начинают привлекать и самостоятельно регистрировать новых членов, выдавая им займы. Чтобы не допустить обмана, как в первом, так и во втором случае при обращении за займом нужно внимательно изучить информацию о заинтересовавшей вас организации.
5. Кредиты и займы;5.3. ВИДЫ ЗАЙМоВ;5.3.3. ЗАЙМЫ В ЛОМБАРДАХ;Главная особенность займов в ломбардах — их обеспеченность залогом. Классической формой залога являются изделия из драгоценных металлов, хотя сейчас легко найти организации, которые 210 ФИНАНСОВАЯ ГРАМОТНОСТЬ принимают сотовые телефоны, компьютеры, бытовую технику, машины и даже дорогую одежду, например меховые изделия. Деятельность ломбардов регулируется Федеральным законом от 19 июля 2007 г. № 196-ФЗ «О ломбардах». Основной принцип их работы заключается в том, чтобы стоимость предмета залога, принесенного клиентом, при его реализации в случае невозврата долга была не меньше величины займа с учетом начисленных процентов и издержек, связанных с хранением заложенной вещи. Как правило, максимальную сумму, которую ломбард может предложить клиенту, определяет оценщик, причем, вероятнее всего, она будет ниже рыночной. Изделия из драгоценных металлов обычно оцениваются по весу, а те, которые ломбард не планирует выставлять на продажу, принимаются как лом по более низкой цене за грамм. Если заёмщик не успевает погасить заём в срок, по закону ломбард не может обратить взыскание на заложенную вещь еще в течение месячного льготного периода. На протяжении этого времени сохраняется право выкупа, причем вплоть до дня реализации ломбард не имеет права увеличивать ставку или ухудшать условия хранения заложенной вещи. После реализации вещи любые требования к заёмщику прекращаются, даже если выручка ломбарда не покрывает всю сумму займа. Если же вещь была продана дороже, в течение трех лет заёмщик вправе обратиться за компенсацией разницы. Максимальный уровень предельной задолженности в ломбардах строго регулируется установленными нормативами. Так же, как в отношении МФО и банков, для ломбардов предельная задолженность не должна превышать сумму займа более чем в полтора раза. Однако часто ломбарды идут на разного рода ухищрения, чтобы обойти ограничительные нормы. Один из распространенных способов — установление дифференцированной ставки, которая вначале очень высока, а потом постепенно снижается. Так как займы в ломбардах, как правило, краткосрочные, при такой системе клиенты вынуждены платить самые высокие проценты. Тем не менее процентные ставки в ломбардах все равно обычно ниже, чем в МФО, однако в среднем выше, чем в банках. ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
5. Кредиты и займы;5.4. ПРИнцИПЫ РАцИонАЛьноГо КРЕДИТноГо ПоВЕДЕнИя;5.4.1. ОПРЕДЕЛЯЕМ НЕОБХОДИМОСТЬ КРЕДИТА;Первое, о чем стоит подумать, прежде чем обращаться за кредитом: а действительно ли он вам нужен? На первый взгляд этот вопрос может показаться наивным, однако от ответа на него в значительной степени зависит как минимум дальнейшее состояние вашего личного бюджета. Чтобы всё взвесить и ответить правильно, вам предварительно стоит спросить себя еще вот о чем: • Уверены ли вы в том, что сможете отдать кредит? • Есть ли у вас надежный источник средств для покрытия долга? • Если вы по какой-то причине лишитесь постоянного источника дохода, удастся ли вам найти деньги для выполнения долговых обязательств? Все эти вопросы касаются вашей способности платить по дол гам. Если на каждый из них вы ответили утвердительно, значит, оцениваете свое финансовое положение так, что кредит не станет для вас непосильной ношей. Если же вы дали хотя бы один отрицательный ответ, вероятно, вам лучше постараться избежать использования заём ных средств. Так или иначе, независимо от вашей кредитоспособности, необходимо оценить еще один фактор — важность финансовой цели, на достижение которой вы планируете потратить заёмные средства. Для этого вы также можете спросить себя: • Сделает ли тот вид расхода (покупка, оплата услуги или что-то иное), который вы планируете осуществить за счет заёмных средств сейчас, вашу жизнь лучше в долгосрочной перспективе (например, через 10 лет)? • Несет ли для вас негативные последствия решение отложить покупку (или иной вид расхода) до тех пор, пока вы не накопите необходимую сумму самостоятельно? • Можете ли вы найти иной способ удовлетворения той же потребности, который требовал бы меньших затрат? Отдельного внимания заслуживает ситуация, когда человек решает взять кредит для того, чтобы за счет него досрочно погасить уже имеющийся. Это разумно, например, если новый кредит будет получен на тот же или более короткий срок, но по более низкой ставке, или в ситуации, когда ежемесячный платеж кажется вам непомерно большим, а от реструктуризации банк отказывается. Тогда можно погасить кредит за счет нового долга, взятого на более длительный срок, с таким ежемесячным платежом, который будет лучше укладываться в ваш бюджет. ГЛАВА 5. КРЕДИТЫ И ЗАЙМЫ
